id,from,subject,body,expected_priority
1,sender1@example.com,Production database is down,Our production database crashed. All users affected. Losing revenue every minute. Fix immediately.,CRITICAL
2,sender2@example.com,Security breach detected,Unauthorized access to our servers detected. Customer data compromised. Need immediate action.,CRITICAL
3,sender3@example.com,Website completely offline,All services unreachable. 5000 users cannot login. Emergency response needed now.,CRITICAL
4,sender4@example.com,Ransomware attack in progress,Files are being encrypted right now. All staff locked out. Need incident response immediately.,CRITICAL
5,sender5@example.com,SSL certificate expired,Our SSL certificate expired. All HTTPS traffic failing. Users getting security warnings.,CRITICAL
6,sender6@example.com,Payment processing down,All payment transactions failing. Customers cannot complete purchases. Losing $50000 per hour.,CRITICAL
7,sender7@example.com,Checkout system crashed,Entire checkout flow broken. No orders can be placed. Emergency fix needed now.,CRITICAL
8,sender8@example.com,Database corruption detected,Corrupted records found in main database. Data integrity at risk. Need DBA immediately.,CRITICAL
9,sender9@example.com,Network backbone failure,Core network switch failed. Thousands of customers without service. Escalate to level 3 now.,CRITICAL
10,sender10@example.com,Cloud infrastructure outage,All instances unreachable. Entire production environment down. Customers affected globally.,CRITICAL
11,sender11@example.com,Admin credentials leaked,Admin login credentials posted publicly online. Unauthorized logins happening right now.,CRITICAL
12,sender12@example.com,GPS tracking system offline,Entire fleet tracking system gone dark. 200 trucks untracked. Safety and legal emergency.,CRITICAL
13,sender13@example.com,Exam portal crashed during finals,Online exam system crashed mid exam for 3000 students. Need it restored in 10 minutes.,CRITICAL
14,sender14@example.com,ATM network completely down,All 500 ATMs offline. Customers cannot withdraw cash. Media already calling. Fix now.,CRITICAL
15,sender15@example.com,Live streaming platform down,Live streaming service crashed during major event with 100000 viewers. Revenue at stake.,CRITICAL
16,sender16@example.com,Medical device integration failure,Software connecting to ICU devices stopped responding. Patient monitoring affected.,CRITICAL
17,sender17@example.com,Zero day vulnerability found,Zero day exploit found in authentication system. Attackers can bypass login. Patch immediately.,CRITICAL
18,sender18@example.com,Load balancer failure,Load balancer failed causing all traffic to hit single server. System about to collapse.,CRITICAL
19,sender19@example.com,Mobile app crashing for all users,iOS and Android apps crashing on launch for 100% of users after latest update. Rollback now.,CRITICAL
20,sender20@example.com,CI CD pipeline completely broken,All deployments failing. Cannot push any fixes to production. Pipeline down for 3 hours.,CRITICAL
21,sender21@example.com,Backup system failure,Automated backups silently failing for 2 weeks. No recent backups exist. Disaster risk.,CRITICAL
22,sender22@example.com,Inventory system corrupted,Inventory database shows negative stock levels. Orders being placed for items we don't have.,CRITICAL
23,sender23@example.com,Flight booking system down,Reservation system crashed. Passengers cannot check in online. Flights departing in 2 hours.,CRITICAL
24,sender24@example.com,DDoS attack ongoing,Massive DDoS attack hitting us. Website and APIs completely unreachable. Activate incident response.,CRITICAL
25,sender25@example.com,Game servers offline during launch,Game servers crashed 30 minutes into official launch. 500000 players cannot connect.,CRITICAL
26,sender26@example.com,Core banking software failure,Core banking system in read only mode. No transactions can be processed right now.,CRITICAL
